时间,LD1电流(A),LD1电压(V),LD2电流(A),LD2电压(V),PD温度(℃),PD功率(W),TEC1温度(℃),TEC1电流(A),TEC1功率(W),TEC2温度(℃),TEC2电流(A),TEC2功率(W),TEC3温度(℃),TEC3电流(A),TEC3功率(W),TEC4温度(℃),TEC4电流(A),TEC4功率(W),
2025年12月18日 23:19:18.041,0.3,0.7,0.3,0.6,2067.0,1910.0, -259.7,-20.1,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.3,0.0,
2025年12月18日 23:19:19.041,0.3,0.7,0.3,0.6,2095.0,1956.0, -259.7,-20.2,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.3,0.0,
2025年12月18日 23:19:31.040,0.3,0.6,0.3,0.6,2017.0,1924.0, -259.7,-20.2,0.0,-259.7,-20.2,0.0,-259.7,-20.4,0.0,-259.7,-20.3,0.0,
2025年12月18日 23:19:32.041,0.3,0.6,0.3,0.6,2040.0,1924.0, -259.7,-20.2,0.0,-259.7,-20.2,0.0,-259.7,-20.3,0.0,-259.7,-20.3,0.0,
2025年12月18日 23:19:33.041,0.3,0.6,0.3,0.7,2017.0,1934.0, -259.7,-20.2,0.0,-259.7,-20.2,0.0,-259.7,-20.3,0.0,-259.7,-20.3,0.0,
2025年12月18日 23:19:34.041,0.3,0.6,0.3,0.7,2032.0,1924.0, -259.7,-20.2,0.0,-259.7,-20.2,0.0,-259.7,-20.3,0.0,-259.7,-20.3,0.0,
2025年12月18日 23:19:35.042,0.3,0.7,0.3,0.7,2076.0,1931.0, -259.7,-20.2,0.0,-259.7,-20.2,0.0,-259.7,-20.3,0.0,-259.7,-20.3,0.0,
2025年12月18日 23:19:36.042,0.3,0.6,0.3,0.6,2029.0,1925.0, -259.7,-20.2,0.0,-259.7,-20.2,0.0,-259.7,-20.3,0.0,-259.7,-20.3,0.0,
2025年12月18日 23:19:50.041,0.3,0.6,0.3,0.6,2008.0,1912.0, -259.7,-20.2,0.0,-259.7,-20.2,0.0,-259.7,-20.3,0.0,-259.7,-20.3,0.0,
2025年12月18日 23:19:51.041,0.3,0.6,0.3,0.7,2012.0,1885.0, -259.7,-20.2,0.0,-259.7,-20.2,0.0,-259.7,-20.4,0.0,-259.7,-20.3,0.0,
2025年12月18日 23:19:52.042,0.3,0.6,0.3,0.6,2002.0,1927.0, -259.7,-20.2,0.0,-259.7,-20.2,0.0,-259.7,-20.3,0.0,-259.7,-20.3,0.0,
2025年12月18日 23:19:53.042,0.3,0.6,0.3,0.7,2014.0,1901.0, -259.7,-20.2,0.0,-259.7,-20.2,0.0,-259.7,-20.3,0.0,-259.7,-20.3,0.0,
